Número de proceso,Nombre de proceso,Tipo de proceso,Fecha de apertura,Estado,Unidad ejecutora
418-1642-CDI25,CARDIOLOGÍA. Adquisición de 2 Catéres Centrales de Inserción Periférica (PICC). TRIMESTRAL,Contratación Directa,15/10/2025 07:00 Hrs.,Publicado,418 - HTAL. JUAN A. FERNANDEZ  
414-1665-LPU25,ESPACIADOR DE FEMUR DISTAL DERECHO,Licitación Pública,15/10/2025 08:00 Hrs.,Publicado,414 - HTAL. MARIA CURIE  
440-3205-CME25,SIERRA CORTA YESO.,Contratación  Menor,15/10/2025 09:00 Hrs.,Publicado,440 - HTAL. DALMACIO VELEZ SARSFIELD 
7192-1609-LPU25,"Provisión, elaboración, armado, ensamblaje y distribución material didáctico- EX-2025-38036093-SSPIE",Licitación Pública,15/10/2025 09:00 Hrs.,Publicado,7192 - MINISTERIO DE EDUCACION
438-3261-CME25,PORTERO ELECTRICO,Contratación  Menor,15/10/2025 09:00 Hrs.,Publicado,438 - HTAL. ENRIQUE TORNU
412-1648-LPU25,MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE EQUIPOS (DIALISIS),Licitación Pública,15/10/2025 09:00 Hrs.,Publicado,412 - HTAL. COSME ARGERICH  
438-3276-CME25,LAMPARA DE FOTOCURADO - CAVITADOR NEUMATICO,Contratación  Menor,15/10/2025 09:00 Hrs.,Publicado,438 - HTAL. ENRIQUE TORNU
438-1653-CDI25,COLCHON NEUMATICO ANTIESCARAS,Contratación Directa,15/10/2025 09:00 Hrs.,Publicado,438 - HTAL. ENRIQUE TORNU
438-3259-CME25,AYUDA MEDICA CPAP,Contratación  Menor,15/10/2025 09:00 Hrs.,Publicado,438 - HTAL. ENRIQUE TORNU
412-1717-LPU25,"ADQUISICION DE INSUMOS (SET DE BANDEJAS DE HEMOFILTRACION, ETC)",Licitación Pública,15/10/2025 09:00 Hrs.,Publicado,412 - HTAL. COSME ARGERICH  
431-1652-CDI25,ADQUISICION DE GEL POINT-PTE.PAREDES MARCOS ALEJANDRO-SERVICIO DE CIRUGIA GENERAL.,Contratación Directa,15/10/2025 09:00 Hrs.,Publicado,431 - HTAL. BERNARDINO RIVADAVIA  
414-1682-LPU25,ADQUISCION GENERADORES PARA MEDICINA NUCLEAR,Licitación Pública,15/10/2025 09:00 Hrs.,Publicado,414 - HTAL. MARIA CURIE  
438-3264-CME25,REACTIVO DE LABORATORIO ( BIOLOGIA MOLECULAR) REACTIVO PARA EXTRACCIÓN DE ADN,Contratación  Menor,15/10/2025 09:30 Hrs.,Publicado,438 - HTAL. ENRIQUE TORNU
431-3175-CME25,SERVICIO DE REPARACION DE MICROSCOPIO QUIRÚRGICO MARCA NEWTON - SERVICIO DE OTORRINOLARINGOLOGIA,Contratación  Menor,15/10/2025 10:00 Hrs.,Publicado,431 - HTAL. BERNARDINO RIVADAVIA  
430-1613-CDI25,REPARACION DE CENTRIFUGAS (LABORATORIO CENTRAL),Contratación Directa,15/10/2025 10:00 Hrs.,Publicado,430 - HTAL. JOSE M.RAMOS MEJIA 
438-3155-CME25,CONTROL DE CALIDAD EXTERNO,Contratación  Menor,15/10/2025 10:00 Hrs.,Publicado,438 - HTAL. ENRIQUE TORNU
430-3288-CME25,BOTAS DE COMPRESION NEUMATICA -UTI,Contratación  Menor,15/10/2025 10:00 Hrs.,Publicado,430 - HTAL. JOSE M.RAMOS MEJIA 
435-3266-CME25,ADQUISICION DE MEDICAMENTOS ( FLOROGLUCINOL + TRIMETOXIBENCENO) PARA EL SERVICIO DE FARMACIA.,Contratación  Menor,15/10/2025 10:00 Hrs.,Publicado,435 - HTAL. RAMON SARDA  
438-3289-CME25,FILTRO BATERIANO,Contratación  Menor,15/10/2025 10:30 Hrs.,Publicado,438 - HTAL. ENRIQUE TORNU
431-3176-CME25,ADQUISICION DE DETERMINACION DE DROGAS DE ABUSO-SERVICIO DE LABORATORIO,Contratación  Menor,15/10/2025 10:30 Hrs.,Publicado,431 - HTAL. BERNARDINO RIVADAVIA  
8056-1613-LPU25,Suscripción y Renovación de Software como Servicio de Respaldo Tipo Enterprise,Licitación Pública,15/10/2025 11:00 Hrs.,Publicado,8056 - AGENCIA SISTEMAS DE INFORMACION
421-3082-CME25,Servicio de Reparación Integral de Cabina de Flujo Laminar,Contratación  Menor,15/10/2025 11:00 Hrs.,Publicado,421 - HTAL. PEDRO LAGLEYZE  
431-3178-CME25,SERVICIO DE MANTENIMIENTO INTEGRAL DE EQUIPO DE FUNCION PULMONAR-SERVICIO DE NEUMONOLOGIA,Contratación  Menor,15/10/2025 11:00 Hrs.,Publicado,431 - HTAL. BERNARDINO RIVADAVIA  
435-1664-LPU25,REACTIVOS HORMONAS II PARA EL SERVICIO DE LABORATORIO CON EQUIPAMIENTO EN CALIDAD DE PRESTAMO,Licitación Pública,15/10/2025 11:00 Hrs.,Publicado,435 - HTAL. RAMON SARDA  
10002-0924-LPU25,Licitación Pública - Hotel en el interior del Parque Olímpico.,Licitación Pública,15/10/2025 11:00 Hrs.,Publicado,10002 - Direccion General Concesiones y Permisos
420-1555-LPU25,CAMPO AUTOADHESIVO,Licitación Pública,15/10/2025 11:00 Hrs.,Publicado,420 - HTAL. RICARDO GUTIERREZ  
439-3287-CME25,"Batas, Fundas y Desacrtables para UTI",Contratación  Menor,15/10/2025 11:00 Hrs.,Publicado,439 - HTAL. BONORINO UDAONDO
429-1517-LPU25,Adquisición de equipamiento para Servicio de Radiología.,Licitación Pública,15/10/2025 11:00 Hrs.,Publicado,429 - HTAL. ODONTOLOGICO QUINQUELA MARTIN  
434-1356-LPU25,Adquisición insumos-vendas elásticas y otros,Licitación Pública,15/10/2025 12:00 Hrs.,Publicado,434 - HTAL.DONACION FRANCISCO SANTOJANNI
401-1489-LPU25,Adquisición de determinaciones e insumos para la realización de análisis de orina,Licitación Pública,15/10/2025 12:00 Hrs.,Publicado,401 - MINISTERIO DE SALUD
434-0379-LPU25,Adq.: Sutura de Lino y otros. Farmacia.,Licitación Pública,15/10/2025 12:30 Hrs.,Publicado,434 - HTAL.DONACION FRANCISCO SANTOJANNI
427-3318-CME25,Servicio de Reparación Integral de Ultrasonidos de Kinesiología,Contratación  Menor,15/10/2025 13:00 Hrs.,Publicado,427 - HTAL. IGNACIO PIROVANO
434-1549-LPU25,Servicio de Alquiler conjunto de ropa estéril reusable,Licitación Pública,15/10/2025 13:00 Hrs.,Publicado,434 - HTAL.DONACION FRANCISCO SANTOJANNI
101-3090-CME25,Adquisición de insumos de sonido,Contratación  Menor,15/10/2025 13:00 Hrs.,Publicado,101 - SECRETARIA LEGAL Y TECNICA  
434-2856-CME25,Adquisición Cable Paciente para ECG compatible con monitor Mindray Beneview,Contratación  Menor,15/10/2025 13:30 Hrs.,Publicado,434 - HTAL.DONACION FRANCISCO SANTOJANNI
416-1628-LPU25,NUTRICIÓN PARENTERAL COMPLETA - PED. 41208 - ABAST. 6 MESES,Licitación Pública,15/10/2025 15:00 Hrs.,Publicado,416 - HTAL. CARLOS G. DURAND
416-1588-LPU25,"ANTISUERO PARA LA DETECCION DE INMUNOGLUBULINA A (Iga),etc, LPU- PED N° 44058-ABASTEC. 6 MESES",Licitación Pública,15/10/2025 15:00 Hrs.,Publicado,416 - HTAL. CARLOS G. DURAND
418-1644-CDI25,ESTERILIZACION - SERVICIO DE DESINSTALACIÓN/REARME Y REPARACIÓN DE AUTOCLAVE VAP 5001,Contratación Directa,16/10/2025 07:00 Hrs.,Publicado,418 - HTAL. JUAN A. FERNANDEZ  
422-3351-CME25,Adquisicion de Fenobarbital,Contratación  Menor,16/10/2025 08:00 Hrs.,Publicado,422 - HTAL. BRAULIO MOYANO  
438-1664-CDI25,STENT TRAQUEAL,Contratación Directa,16/10/2025 09:00 Hrs.,Publicado,438 - HTAL. ENRIQUE TORNU
439-1688-LPU25,NUTRICIÓN PARENTERAL TOTAL Y ÁCIDO TRANEXÁMICO,Licitación Pública,16/10/2025 09:00 Hrs.,Publicado,439 - HTAL. BONORINO UDAONDO
438-3317-CME25,INSUMO AIRE ACONDICIONADO,Contratación  Menor,16/10/2025 09:00 Hrs.,Publicado,438 - HTAL. ENRIQUE TORNU
438-1654-CDI25,INSULINA HUMANA ISOFANICA,Contratación Directa,16/10/2025 09:00 Hrs.,Publicado,438 - HTAL. ENRIQUE TORNU
446-1704-LPU25,INCLUIR SALUD - MENA JONATHAN FABIAN - CAMBIO DE CONO DE ENCHUFE PARA UNA PROTESIS AMP. M.I.,Licitación Pública,16/10/2025 09:00 Hrs.,Publicado,446 - INSTITUTO DE REHABILITACION PSICOFICA
418-1643-CDI25,"FARMACIA- ADQ. DE AGULAS DE ANESTESIA, ELECTRODOS BLUE Y CANULAS TRAQUEOTOMIA (FARMACIA) (SEMESTRAL)",Contratación Directa,16/10/2025 09:00 Hrs.,Publicado,418 - HTAL. JUAN A. FERNANDEZ  
7192-1641-CDI25,adquisición de material bibliográfico -  EX-2025-40703212- -GCABA-SSGDA,Contratación Directa,16/10/2025 09:00 Hrs.,Publicado,7192 - MINISTERIO DE EDUCACION
430-1624-CDI25,REPARACION AGITADORES PARA EXTRACCION (HEMOTERAPIA),Contratación Directa,16/10/2025 10:00 Hrs.,Publicado,430 - HTAL. JOSE M.RAMOS MEJIA 
410-3338-CME25,PED. 387 ADQUISICION DE CHASIS PARA PLACA PARA RADIOLOGIA DIGITAL (SERVICIO DIAG POR IMAGENES),Contratación  Menor,16/10/2025 10:00 Hrs.,Publicado,410 - HTAL.TEODORO ALVAREZ  
