Número de proceso,Nombre de proceso,Tipo de proceso,Fecha de apertura,Estado,Unidad ejecutora
31-0008-LPU23,"SERVICIO DE REEMPLAZO, PROVISIÓN Y PUESTA A PUNTO DE NUEVO TABLERO Y TENDIDOS PRINCIPALES CPFCABA",Licitación Pública,17/11/2025 12:00 Hrs.,Publicado,660
31-0040-LPU24,"Adquisición de colchones y almohadas ignifugas, con destino al S.P.F",Licitación Pública,18/11/2025 12:00 Hrs.,Publicado,660
31-0044-LPU24,EJECUCIÓN DE RED DE PROTECCIÓN CONTRA INCENDIO Y REACONDICIONAMIENTO DE TANQUE TORRE DEL CPFCABA,Licitación Pública,19/11/2025 16:00 Hrs.,Publicado,660
31-0087-LPU24,SALIDAS ALTERNATIVAS DE EVACUACION PERTENECIENTES AL CPF-CABA,Licitación Pública,20/11/2025 16:00 Hrs.,Publicado,660
487-0049-LPU25,"Adquisición, acarreo, instalación y puesta en funcionamiento de UN (01) TOMOGRAFO 64 CORTES",Licitación Pública,28/11/2025 10:00 Hrs.,Publicado,1345
74-0172-LPR25,Adquisición de Access Point exterior y Ruters para las distintas dependencias del Organismo,Licitación Privada,12/11/2025 10:00 Hrs.,Publicado,911
80-0026-CDI25,Adquisición de Equipos de Aires acondicionados y Ventiladores,Contratación Directa,07/11/2025 13:00 Hrs.,Publicado,658
14/2-0043-LPR25,ADQUISICIÒN DE DETECTOR DE GERMANIO HIPER PURO,Licitación Privada,01/12/2025 10:30 Hrs.,Publicado,967
66-0014-LPR25,Servicio de retiro y destrucción de residuos especiales.,Licitación Privada,03/11/2025 12:00 Hrs.,Publicado,1281
27-0006-CDI25,Renovación servicios de hosting y housing ARSAT,Contratación Directa,06/11/2025 12:00 Hrs.,Publicado,664
40/14-0411-LPR25,"Servicio de Fumigación, Desinsectación y Desratización (SG)",Licitación Privada,04/11/2025 09:00 Hrs.,Publicado,844
14-0182-CDI25,SERVICIO DE MEDICINA LABORAL REGIONAL NOROESTE,Contratación Directa,10/11/2025 09:00 Hrs.,Publicado,934
