Número de proceso,Nombre de proceso,Tipo de proceso,Fecha de apertura,Estado,Unidad ejecutora
2025-84-99-296,INSUMOS PROTESICOS,Procedimiento Abreviado,14/10/2025 08:00 Hrs.,Publicado,103.18.2.1 - Dir. Pcial. Hospitales - Hospital Blas Dubarry - Mercedes
2025-433-101-265,ADQUISICION DE CABLES PARA MONITORES MULTIPARAMETRICOS,Procedimiento Abreviado,14/10/2025 08:00 Hrs.,Publicado,103.14.11.1 - Dir. Pcial. Hospitales - Hospital L. C. De Gandulfo - L De Zamora
2025-457-99-265,ADQUISICION DE PROTESIS GIMENEZ ESTEBAN,Procedimiento Abreviado,14/10/2025 08:30 Hrs.,Publicado,103.14.11.1 - Dir. Pcial. Hospitales - Hospital L. C. De Gandulfo - L De Zamora
2025-165-99-2842,ADQUISICION DE INSUMOS PROTESICOS PARA EL SERVICIO DE ORTOPEDIA Y TRAUMATOLOGIA,Procedimiento Abreviado,14/10/2025 08:30 Hrs.,Publicado,103.20.2.1 - Dir. Pcial. Hospitales - Hospital A. Balestrini - La Matanza
2025-76-99-350,Servicio de Mantenimiento de Autoclave Hogner y Ablandor de Agua Logix,Procedimiento Abreviado,14/10/2025 09:00 Hrs.,Publicado,103.14.12.1 - Dir. Pcial. Hospitales - Hospital Dr. I. Iriarte - Quilmes
2025-451-101-265,REPARACION MICROTOMO ROTATIVO - CAMA ELECTRICA - RESPIRADORES -COLPOSCOPIO,Procedimiento Abreviado,14/10/2025 09:00 Hrs.,Publicado,103.14.11.1 - Dir. Pcial. Hospitales - Hospital L. C. De Gandulfo - L De Zamora
2025-227-99-293,Procedimiento Abreviado N° 227/2025. Pte. Guerra Walter Fabian,Procedimiento Abreviado,14/10/2025 09:00 Hrs.,Publicado,103.13.4.1 - Dir. Pcial. Hospitales - Hospital M.V.De Martinez - Tigre
2025-223-99-128,Procedimiento Abreviado N° 223/2025 - Adq. Solucion Fisiologica,Procedimiento Abreviado,14/10/2025 09:00 Hrs.,Publicado,103.13.5.1 - Dir. Pcial. Hospitales - Hospital Eva Perón - San Martín
2025-204-115-309,Procedimiento abreviado 204/25 UPA LEZAMA Nº 7,Procedimiento Abreviado,14/10/2025 09:00 Hrs.,Publicado,103.19.18.1 - Dir. Pcial. Hospitales - Hospital A. Korn M. Romero
2025-32-126-334,PROC ABREV UPA 32/2025 - S/SERVICIO CONTROL DE PLAGAS,Procedimiento Abreviado,14/10/2025 09:00 Hrs.,Publicado,103.13.1.1 - Dir. Pcial. Hospitales - Hospital Gdor. Mercante - J.C.Paz
